Instance,LastWeek,Authority__column,Cohort__column,Degree__column,Hub__column,In-Degree__column,NumPosts__column,Out-Degree__column,Post Density__column,Post Duration__column,Subthreadstarter__column,Threadstarter__column,Week__column
938,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
939,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
940,False,0.032446475,Coh2,0.025,0.0,0.05,0.12,0.0,0.058635,0.053856842,0.0,0.0,1.0
941,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
942,False,0.0777605,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,3.0
943,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
944,True,0.0,Coh2,0.025,0.166666675,0.0,0.08,0.033333333,1.0,4.42105E-4,0.0,0.0,5.0
945,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
946,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
947,False,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
948,False,0.056497175,Coh2,0.1,0.116009275,0.05,0.12,0.1,0.0092358,0.341918947,0.0,0.0,2.0
949,False,0.0777605,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,3.0
950,True,0.09784735,Coh2,0.025,0.0,0.05,0.08,0.0,0.00472022,0.446009474,0.0,1.0,4.0
951,True,0.08111615,Coh2,0.1,0.0,0.2,0.16,0.0,0.327011,0.012875789,0.0,0.0,1.0
952,False,0.0486697,Coh2,0.3,0.1588983,0.1,0.24,0.333333333,0.0204199,0.309295789,0.0,1.0,1.0
953,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
954,True,0.0777605,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,3.0
955,False,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,0.0134662,0.156336842,0.0,0.0,1.0
956,False,0.056497175,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,2.0
957,True,0.0777605,Coh2,0.025,0.0,0.05,0.16,0.0,0.103708,0.0406,0.0,0.0,3.0
958,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
959,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
960,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
961,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
962,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
963,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
964,True,0.0,Coh2,0.025,0.0529661,0.0,0.04,0.033333333,0.001,0.0,0.0,1.0,1.0
965,False,0.032446475,Coh2,0.375,0.1059322,0.05,0.12,0.466666667,0.0335428,0.094145263,0.0,1.0,1.0
966,True,0.056497175,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,2.0
